,City,Country,Date,Latitude,Longitude,Temperature,Humidity,Wind speed,Cloudliness
0,Punta Arenas,CL,1529373600,-53.16,-70.91,33.8,100,19.46,40
1,Kodiak,US,1529369580,39.95,-94.76,87.8,58,8.05,75
2,Kawalu,ID,1529374309,-7.38,108.21,73.71,85,2.62,48
3,Duluth,US,1529372100,46.77,-92.13,71.6,72,4.7,1
4,Lakes Entrance,AU,1529374309,-37.88,147.99,54.54,97,5.19,92
5,Eberbach,DE,1529374309,49.46,8.99,60.3,85,4.29,80
6,Saint George,BM,1529373300,32.38,-64.68,73.4,73,5.82,40
7,Bambous Virieux,MU,1529370000,-20.34,57.76,68.0,88,8.05,20
8,Alexandria,EG,1529370000,31.2,29.89,73.4,83,2.24,0
9,Nowy Dwor Mazowiecki,PL,1529371800,52.43,20.72,62.6,88,4.7,0
10,Melilla,ES,1529371800,35.29,-2.94,68.0,82,1.12,0
11,Rawson,AR,1529374310,-43.3,-65.11,53.46,64,11.12,36
12,Sfantu Gheorghe,RO,1529371800,44.65,26.83,64.4,93,4.7,0
13,Pevek,RU,1529374283,69.7,170.27,42.84,69,10.22,32
14,Cabinda,AO,1529374311,-5.56,12.19,74.7,100,9.78,12
15,Carnarvon,AU,1529374311,-24.87,113.63,62.46,100,20.96,0
16,Luang Prabang,LA,1529370000,19.89,102.14,80.6,88,2.24,90
17,Semey,KZ,1529374311,50.41,80.25,70.02,59,15.7,0
18,Lavrentiya,RU,1529374311,65.58,-170.99,42.3,87,12.57,0
19,Tateyama,JP,1529370000,36.66,137.31,84.2,51,4.7,40
20,Wilmington,US,1529373000,39.75,-75.55,84.2,88,3.36,75
21,Saskylakh,RU,1529374312,71.97,114.09,55.98,82,11.23,32
22,Forrest City,US,1529373180,35.01,-90.79,82.4,69,10.29,20
23,Xining,CN,1529374312,36.62,101.77,59.4,74,1.95,56
24,Verkhnevilyuysk,RU,1529374312,63.45,120.31,65.7,41,3.51,0
25,Oriximina,BR,1529374312,-1.77,-55.87,75.06,92,2.17,0
26,Vadlapudi,IN,1529374313,14.32,79.8,88.56,50,6.08,36
27,Kyren,RU,1529374313,51.68,102.13,64.8,64,2.73,0
28,Tiksi,RU,1529374313,71.64,128.87,57.33,74,3.96,0
29,Papetoai,PF,1529373600,-17.5,-149.87,84.2,62,4.7,40
30,Herat,AF,1529370900,34.35,62.22,75.2,29,3.36,0
31,Ushtobe,KZ,1529374313,45.25,77.98,75.33,58,4.85,76
32,Mutoko,ZW,1529374313,-17.4,32.23,45.27,84,2.73,0
33,Muyezerskiy,RU,1529374314,63.93,31.65,61.2,74,3.4,8
34,Bonavista,CA,1529374314,48.65,-53.11,45.0,90,21.74,100
35,Payson,US,1529372100,40.04,-111.73,75.2,31,10.29,1
36,Sur,OM,1529374314,22.57,59.53,87.75,84,4.97,0
37,Springdale,CA,1529374314,49.5,-56.06,44.64,90,23.76,92
38,Adrar,DZ,1529370000,27.87,-0.29,93.2,10,6.93,0
39,Faanui,PF,1529374314,-16.48,-151.75,78.12,100,15.48,88
40,Iranshahr,IR,1529374213,27.21,60.69,81.45,24,4.41,0
41,Yarim,YE,1529374315,14.3,44.38,52.2,40,2.73,0
42,Dalaba,GN,1529374315,10.69,-12.25,65.25,98,4.97,64
43,Namtsy,RU,1529374315,62.72,129.66,64.71,60,3.4,56
44,Bagdarin,RU,1529374315,54.44,113.59,62.91,47,5.19,0
45,Kidal,ML,1529374284,18.44,1.41,91.8,14,5.75,92
46,Tuntum,BR,1529374316,-5.26,-44.64,72.18,92,4.63,36
47,Sept-Iles,CA,1529370000,50.2,-66.38,48.2,100,3.36,90
48,Cihuatlan,MX,1529372880,19.24,-104.57,80.6,83,9.17,75
